latitude,fert_rate,hdi_rank,longitude,country
12.8628,56.8,154,30.2183,Sudan
3.919,39.5,94,-56.0288,Suriname
-26.5224,83.9,121,31.4659,Swaziland
62.1997,7.7,9,17.6402,Sweden
46.8181,5.5,13,8.2276,Switzerland
34.8021,61.1,111,38.9964,Syrian Arab Republic
38.8606,28.4,112,71.2761,Tajikistan
-6.3688,130.4,148,34.8888,Tanzania
13.044,37.3,92,101.4933,Thailand
-8.8018,53.8,120,125.6773,Timor-Leste
8.6195,64.8,139,0.824,Togo
-21.179,22.8,85,-175.1982,Tonga
10.693,34.6,59,-61.2212,Trinidad and Tobago
33.7874,6.9,81,9.5369,Tunisia
38.9642,38.8,83,35.2432,Turkey
38.9711,19.5,87,58.9605,Turkmenistan
1.3733,150,143,32.292,Uganda
48.3789,28.3,69,31.1651,Ukraine
24.3586,16,32,53.9825,United Arab Emirates
55.3993,24.1,26,-3.2111,United Kingdom
39.096,35.9,4,-101.6016,United States
-32.5202,61.1,52,-55.7685,Uruguay
41.3778,12.9,102,64.5825,Uzbekistan
6.4233,89.9,75,-66.5906,Venezuela
15.9417,16.6,113,105.8028,Viet Nam
15.572,68.1,133,48.5147,Yemen
-13.1333,141.8,150,27.8493,Zambia
-19.0156,64.6,169,29.1548,Zimbabwe
